Date,Machine_ID,Retailer_ID,Terminal_ID,termType,Chain_ID,TMID,Location_City,Zip,Scratchers_Sales,Out_of_Stock__
7/6/2019,16570_2,16570,2,PHD,8011,101,A,86881,248,0
7/6/2019,18192_3,18192,3,PHD,8128,209,C,85999,530,0.0401
7/6/2019,35016_2,35016,2,PHD,8011,107,C,85997,1629,0
7/6/2019,40212_2,40212,2,PHD,8128,101,A,86883,759,0.0764
7/6/2019,45189_3,45189,3,PHD,8128,101,A,86883,123,0.057
7/6/2019,52290_3,52290,3,PHD,8052,101,A,86880,594,0.068
7/6/2019,61747_3,61747,3,PHD,8011,101,A,86880,348,0.0891
7/6/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/6/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/6/2019,65783_2,65783,2,PHD,0,209,C,85999,92,0
7/6/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/7/2019,10488_2,10488,2,PHD,8128,101,A,86880,701,0.0639
7/7/2019,10504_2,10504,2,PHD,8128,101,A,86883,459,0.0139
7/7/2019,11198_2,11198,2,PHD,8052,302,B,85965,684,0
7/7/2019,11800_3,11800,3,PHD,9849,209,C,85998,609,0.0915
7/7/2019,11847_4,11847,4,PHD,0,107,C,85998,357,0.0282
7/7/2019,12795_3,12795,3,PHD,0,209,C,85998,543,0.0211
7/7/2019,14881_2,14881,2,PHD,8128,302,B,85965,441,0.0117
7/7/2019,15155_3,15155,3,PHD,0,107,C,85999,1166,0.0168
7/7/2019,15159_2,15159,2,PHD,8052,209,C,85998,1276,0.008
7/7/2019,15159_3,15159,3,PHD,8052,209,C,85998,1984,0.0061
7/7/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,140,0.2634
7/7/2019,15490_2,15490,2,PHD,0,101,A,86884,204,0.0355
7/7/2019,16570_2,16570,2,PHD,8011,101,A,86881,484,0
7/7/2019,18192_3,18192,3,PHD,8128,209,C,85999,919,0.031
7/7/2019,35016_2,35016,2,PHD,8011,107,C,85997,1154,0
7/7/2019,40212_2,40212,2,PHD,8128,101,A,86883,1198,0.0533
7/7/2019,45189_3,45189,3,PHD,8128,101,A,86883,774,0.0222
7/7/2019,52290_3,52290,3,PHD,8052,101,A,86880,738,0.0262
7/7/2019,61747_3,61747,3,PHD,8011,101,A,86880,325,0.0414
7/7/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/7/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/7/2019,65783_2,65783,2,PHD,0,209,C,85999,54,0
7/7/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/8/2019,10488_2,10488,2,PHD,8128,101,A,86880,541,0.042
7/8/2019,10504_2,10504,2,PHD,8128,101,A,86883,759,0.0071
7/8/2019,11198_2,11198,2,PHD,8052,302,B,85965,576,0
7/8/2019,11800_3,11800,3,PHD,9849,209,C,85998,752,0.079
7/8/2019,11847_4,11847,4,PHD,0,107,C,85998,545,0.0255
7/8/2019,12795_3,12795,3,PHD,0,209,C,85998,789,0.0025
7/8/2019,14881_2,14881,2,PHD,8128,302,B,85965,872,0.0215
7/8/2019,15155_3,15155,3,PHD,0,107,C,85999,1184,0.0358
7/8/2019,15159_2,15159,2,PHD,8052,209,C,85998,1201,0
7/8/2019,15159_3,15159,3,PHD,8052,209,C,85998,1790,0
7/8/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,243,0.3556
7/8/2019,15490_2,15490,2,PHD,0,101,A,86884,382,0.0644
7/8/2019,16570_2,16570,2,PHD,8011,101,A,86881,578,0
7/8/2019,18192_3,18192,3,PHD,8128,209,C,85999,1544,0.1147
7/8/2019,35016_2,35016,2,PHD,8011,107,C,85997,1603,0.0001
7/8/2019,40212_2,40212,2,PHD,8128,101,A,86883,455,0.0263
7/8/2019,45189_3,45189,3,PHD,8128,101,A,86883,514,0
7/8/2019,52290_3,52290,3,PHD,8052,101,A,86880,722,0
7/8/2019,61747_3,61747,3,PHD,8011,101,A,86880,449,0.0208
7/8/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/8/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/8/2019,65783_2,65783,2,PHD,0,209,C,85999,10,0.0001
7/8/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/9/2019,10488_2,10488,2,PHD,8128,101,A,86880,887,0.1405
7/9/2019,10504_2,10504,2,PHD,8128,101,A,86883,524,0.0933
7/9/2019,11198_2,11198,2,PHD,8052,302,B,85965,716,0
7/9/2019,11800_3,11800,3,PHD,9849,209,C,85998,1247,0.0727
7/9/2019,11847_4,11847,4,PHD,0,107,C,85998,839,0.0024
7/9/2019,12795_3,12795,3,PHD,0,209,C,85998,777,0.0199
7/9/2019,14881_2,14881,2,PHD,8128,302,B,85965,921,0
7/9/2019,15155_3,15155,3,PHD,0,107,C,85999,980,0.0999
7/9/2019,15159_2,15159,2,PHD,8052,209,C,85998,1421,0
7/9/2019,15159_3,15159,3,PHD,8052,209,C,85998,1425,0.0264
7/9/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,0,0.4375
7/9/2019,15490_2,15490,2,PHD,0,101,A,86884,320,0.0224
7/9/2019,16570_2,16570,2,PHD,8011,101,A,86881,580,0
7/9/2019,18192_3,18192,3,PHD,8128,209,C,85999,973,0.121
7/9/2019,35016_2,35016,2,PHD,8011,107,C,85997,1510,0
7/9/2019,40212_2,40212,2,PHD,8128,101,A,86883,656,0.0138
7/9/2019,45189_3,45189,3,PHD,8128,101,A,86883,311,0.0098
7/9/2019,52290_3,52290,3,PHD,8052,101,A,86880,597,0.0168
7/9/2019,61747_3,61747,3,PHD,8011,101,A,86880,283,0.0663
7/9/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/9/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/9/2019,65783_2,65783,2,PHD,0,209,C,85999,4,0
7/9/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/10/2019,10488_2,10488,2,PHD,8128,101,A,86880,628,0.1155
7/10/2019,10504_2,10504,2,PHD,8128,101,A,86883,242,0.0967
7/10/2019,11198_2,11198,2,PHD,8052,302,B,85965,825,0
7/10/2019,11800_3,11800,3,PHD,9849,209,C,85998,621,0.0039
7/10/2019,11847_4,11847,4,PHD,0,107,C,85998,686,0.0254
7/10/2019,12795_3,12795,3,PHD,0,209,C,85998,405,0.0019
7/10/2019,14881_2,14881,2,PHD,8128,302,B,85965,816,0.0089
7/10/2019,15155_3,15155,3,PHD,0,107,C,85999,987,0.1718
7/10/2019,15159_2,15159,2,PHD,8052,209,C,85998,1220,0
7/10/2019,15159_3,15159,3,PHD,8052,209,C,85998,1341,0.0001
7/10/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,167,0.2744
7/10/2019,15490_2,15490,2,PHD,0,101,A,86884,172,0
7/10/2019,16570_2,16570,2,PHD,8011,101,A,86881,212,0
7/10/2019,18192_3,18192,3,PHD,8128,209,C,85999,1072,0.0547
7/10/2019,35016_2,35016,2,PHD,8011,107,C,85997,1436,0.0001
7/10/2019,40212_2,40212,2,PHD,8128,101,A,86883,696,0.0083
7/10/2019,45189_3,45189,3,PHD,8128,101,A,86883,93,0.0248
7/10/2019,52290_3,52290,3,PHD,8052,101,A,86880,991,0.0368
7/10/2019,61747_3,61747,3,PHD,8011,101,A,86880,341,0.0833
7/10/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/10/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/10/2019,65783_2,65783,2,PHD,0,209,C,85999,102,0
7/10/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/11/2019,10488_2,10488,2,PHD,8128,101,A,86880,866,0.0551
7/11/2019,10504_2,10504,2,PHD,8128,101,A,86883,581,0.0169
7/11/2019,11198_2,11198,2,PHD,8052,302,B,85965,1408,0
7/11/2019,11800_3,11800,3,PHD,9849,209,C,85998,825,0.0406
7/11/2019,11847_4,11847,4,PHD,0,107,C,85998,518,0.0146
7/11/2019,12795_3,12795,3,PHD,0,209,C,85998,405,0
7/11/2019,14881_2,14881,2,PHD,8128,302,B,85965,315,0.0115
7/11/2019,15155_3,15155,3,PHD,0,107,C,85999,887,0.1263
7/11/2019,15159_2,15159,2,PHD,8052,209,C,85998,914,0
7/11/2019,15159_3,15159,3,PHD,8052,209,C,85998,1386,0.0003
7/11/2019,15384_2,15384,2,PHD-LP,8022,101,A,86883,256,0.125
7/11/2019,15490_2,15490,2,PHD,0,101,A,86884,269,0
7/11/2019,16570_2,16570,2,PHD,8011,101,A,86881,445,0
7/11/2019,18192_3,18192,3,PHD,8128,209,C,85999,909,0.1483
7/11/2019,35016_2,35016,2,PHD,8011,107,C,85997,1851,0
7/11/2019,40212_2,40212,2,PHD,8128,101,A,86883,493,0.0172
7/11/2019,45189_3,45189,3,PHD,8128,101,A,86883,112,0.0238
7/11/2019,52290_3,52290,3,PHD,8052,101,A,86880,652,0.0203
7/11/2019,61747_3,61747,3,PHD,8011,101,A,86880,573,0.0328
7/11/2019,65637_2,65637,2,PHD-LP,8022,101,A,86880,0,1
7/11/2019,65765_2,65765,2,PHD-LP,8022,302,B,85965,0,1
7/11/2019,65783_2,65783,2,PHD,0,209,C,85999,25,0
7/11/2019,65815_3,65815,3,PHD-LP,8022,209,C,85999,0,0
7/12/2019,10488_2,10488,2,PHD,8128,101,A,86880,977,0.085
7/12/2019,10504_2,10504,2,PHD,8128,101,A,86883,537,0
7/12/2019,11198_2,11198,2,PHD,8052,302,B,85965,1367,0.0387
7/12/2019,11800_3,11800,3,PHD,9849,209,C,85998,802,0.0722
